Analysis No	sample	petrology	Symbol	Colour	EPSL paper	176Hf/177Hf	2s_Hf	1s	176Lu/177Hf	2s_Lu	176Yb/177Hf	2s_Yb	Age	1s_Age	disc percent
Y011-1	Y011	gabbro	17	darkblue	T	0.282680	0.000027	0.000014	0.001495	0.000009	0.030187	0.000250	509.3	6.4	29.7
Y011-2	Y011	gabbro	17	darkblue	T	0.282820	0.000025	0.000012	0.000861	0.000008	0.020847	0.000194	537.7	5.7	6.2
Y011-3	Y011	gabbro	17	darkblue	T	0.282673	0.000020	0.000010	0.001593	0.000003	0.032197	0.000080	540.3	3.7	2.5
Y011-4	Y011	gabbro	17	darkblue	T	0.282582	0.000029	0.000015	0.002165	0.000014	0.047436	0.000333	536.4	3.0	5.5
Y011-5	Y011	gabbro	17	darkblue	T	0.282722	0.000021	0.000011	0.000678	0.000001	0.016424	0.000042	521.0	4.3	0.6
Y011-6	Y011	gabbro	17	darkblue	T	0.282662	0.000027	0.000014	0.002733	0.000013	0.060434	0.000350	538.6	3.6	10.8
Y011-7	Y011	gabbro	17	darkblue	T	0.282600	0.000023	0.000012	0.003110	0.000096	0.063549	0.001867	523.3	7.6	0.1
Y011-8	Y011	gabbro	17	darkblue	T	0.282593	0.000025	0.000012	0.002669	0.000019	0.060915	0.000560	538.8	4.6	9.2
Y011-9	Y011	gabbro	17	darkblue	T	0.282776	0.000017	0.000008	0.001068	0.000007	0.021384	0.000143	519.3	6.3	0.6
Y011-10	Y011	gabbro	17	darkblue	T	0.282641	0.000026	0.000013	0.001577	0.000024	0.035072	0.000490	536.7	6.3	19.9
Y011-12	Y011	gabbro	17	darkblue	T	0.282688	0.000027	0.000013	0.001574	0.000002	0.033453	0.000055	537.7	3.4	5.6
Y011-13	Y011	gabbro	17	darkblue	T	0.282687	0.000025	0.000013	0.000561	0.000027	0.011424	0.000632	532.8	4.8	10.9
V003-2	V003	 Qtz diorite	15	darkgreen	T	0.282801	0.000025	0.000013	0.001131	0.000014	0.026050	0.000335	476.9	4.0	6.6
V003-3	V003	 Qtz diorite	15	darkgreen	T	0.282755	0.000026	0.000013	0.003282	0.000008	0.079716	0.000187	483.4	4.4	5.2
V003-4	V003	 Qtz diorite	15	darkgreen	T	0.282753	0.000030	0.000015	0.001227	0.000034	0.027435	0.000756	499.3	6.0	0.5
V003-5	V003	 Qtz diorite	15	darkgreen	T	0.282780	0.000026	0.000013	0.000668	0.000007	0.015853	0.000178	496.8	4.6	10.8
V003-6	V003	 Qtz diorite	15	darkgreen	T	0.282761	0.000035	0.000017	0.002076	0.000049	0.050580	0.001248	486.1	4.2	6.8
V003-8	V003	 Qtz diorite	15	darkgreen	T	0.282823	0.000028	0.000014	0.001756	0.000037	0.039819	0.000881	482.7	4.7	11.0
V003-9	V003	 Qtz diorite	15	darkgreen	T	0.282786	0.000021	0.000011	0.001136	0.000003	0.026112	0.000056	493.5	4.9	1.0
